	id	PITCount
0	Alaska	2546.0
1	Alabama	6416.0
2	Arkansas	2658.0
3	Arizona	16470.0
4	California	113040.0
5	Colorado	14133.0
6	Connecticut	10638.0
7	District of Columbia	18039.0
8	Delaware	1834.0
9	Florida	39714.0
10	Georgia	15958.0
11	Hawaii	6444.0
12	Iowa	4420.0
13	Idaho	2411.0
14	Illinois	23810.0
15	Indiana	9064.0
16	Kansas	3571.0
17	Kentucky	7327.0
18	Louisiana	8377.0
19	Massachusetts	37295.0
20	Maryland	15441.0
21	Maine	4829.0
22	Michigan	43915.0
23	Minnesota	21144.0
24	Missouri	12385.0
25	Mississippi	2249.0
26	Montana	2333.0
27	North Carolina	15538.0
28	North Dakota	1420.0
29	Nebraska	4414.0
30	New Hampshire	2660.0
31	New Jersey	14622.0
32	New Mexico	4996.0
33	Nevada	6900.0
34	New York	130191.0
35	Ohio	28989.0
36	Oklahoma	5107.0
37	Oregon	16368.0
38	Pennsylvania	29451.0
39	Rhode Island	3298.0
40	South Carolina	5164.0
41	South Dakota	1414.0
42	Tennessee	11315.0
43	Texas	36058.0
44	Utah	6146.0
45	Virginia	12883.0
46	Vermont	2369.0
47	Washington	31872.0
48	Wisconsin	9602.0
49	West Virginia	2831.0
50	Wyoming	771.0
